,start_station_name,rideable_type,season,Total,Grand Total
144,West St & Chambers St,Classic Bike,Fall,25281,123289
145,West St & Chambers St,Classic Bike,Spring,23466,123289
146,West St & Chambers St,Classic Bike,Summer,37374,123289
147,West St & Chambers St,Classic Bike,Winter,6188,123289
148,West St & Chambers St,Electric Bike,Fall,9396,123289
149,West St & Chambers St,Electric Bike,Spring,7170,123289
150,West St & Chambers St,Electric Bike,Summer,10325,123289
151,West St & Chambers St,Electric Bike,Winter,4089,123289
152,West St & Liberty St,Classic Bike,Fall,17403,87657
153,West St & Liberty St,Classic Bike,Spring,15801,87657
154,West St & Liberty St,Classic Bike,Summer,25652,87657
155,West St & Liberty St,Classic Bike,Winter,4909,87657
156,West St & Liberty St,Electric Bike,Fall,7242,87657
157,West St & Liberty St,Electric Bike,Spring,5602,87657
158,West St & Liberty St,Electric Bike,Summer,7918,87657
159,West St & Liberty St,Electric Bike,Winter,3130,87657
